48601-RMSD-potein-potein-xvgx,48601-RMSD-potein-potein-xvgy1,4860-rmsd-potein-potein.xvg,4860-rmsd-potein-potein-xvgy2,5018-rmsd-potein-potein.xvg,5018-rmsd-potein-xvgy3,,5018-RMSD-lig-ligx,5018-RMSD-lig-ligy1,48601-RMSD-lig-lig.xvg,48601-RMSD-lig-ligy2,4860-rmsd-lig-lig.xvg,4860-rmsd-lig-ligy3,,4860-rmsd-backbond-backbond.xvg,4860-rmsd-backbond-backbond.xvg,48601-rmsd-backbond.xvg,48601-rmsd-backbond.xvg,5018-RMSD-backbond-backbond.xvg,5018-RMSD-backbond-backbond.xvg
1.1700001,0.2497683,1.1700001,0.3730683,1.1700001,0.2180573,,1.1700001,0.1449653,1.1700001,0.1121994,1.1700001,0.1584119,,1.1700001,0.3314174,1.1700001,0.200007,1.1700001,0.1757763
1.1800001,0.246829,1.1800001,0.3749302,1.1800001,0.2208648,,1.1800001,0.1502816,1.1800001,0.1181651,1.1800001,0.1396568,,1.1800001,0.3332147,1.1800001,0.2003265,1.1800001,0.177512
1.1900001,0.2401436,1.1900001,0.3764051,1.1900001,0.2247225,,1.1900001,0.1454559,1.1900001,0.1004176,1.1900001,0.1113956,,1.1900001,0.3350945,1.1900001,0.1883845,1.1900001,0.1837337
1.2,0.2736131,1.2,0.3767091,1.2,0.2253767,,1.2,0.1420619,1.2,0.1248878,1.2,0.0925359,,1.2,0.3353402,1.2,0.2265823,1.2,0.1846636
1.21,0.2845654,1.21,0.3769814,1.21,0.2205153,,1.21,0.1251661,1.21,0.118493,1.21,0.0846792,,1.21,0.3362804,1.21,0.235474,1.21,0.1792576
1.22,0.2612266,1.22,0.3800189,1.22,0.2305633,,1.22,0.1504063,1.22,0.1147783,1.22,0.0799898,,1.22,0.3379946,1.22,0.2087362,1.22,0.191876
1.23,0.2608741,1.23,0.3822819,1.23,0.237303,,1.23,0.1540341,1.23,0.1152017,1.23,0.0794182,,1.23,0.3405806,1.23,0.2134103,1.23,0.2002103
1.24,0.2854447,1.24,0.3820017,1.24,0.2320459,,1.24,0.1512168,1.24,0.1291097,1.24,0.0765889,,1.24,0.3407513,1.24,0.2439995,1.24,0.193721
1.25,0.2771851,1.25,0.3878177,1.25,0.2226786,,1.25,0.1502462,1.25,0.1219494,1.25,0.0734904,,1.25,0.3473496,1.25,0.2315982,1.25,0.1832172
1.2600001,0.2924986,1.2600001,0.3918774,1.2600001,0.207073,,1.2600001,0.1601316,1.2600001,0.1151032,1.2600001,0.0702621,,1.2600001,0.3509437,1.2600001,0.2474337,1.2600001,0.1630047
1.2700001,0.2984234,1.2700001,0.4066696,1.2700001,0.232896,,1.2700001,0.1466794,1.2700001,0.1087785,1.2700001,0.0820185,,1.2700001,0.3673344,1.2700001,0.2547329,1.2700001,0.1898943
1.2800001,0.3037669,1.2800001,0.3983295,1.2800001,0.2282093,,1.2800001,0.1432068,1.2800001,0.1194938,1.2800001,0.0853324,,1.2800001,0.3579704,1.2800001,0.2541836,1.2800001,0.1877629
1.2900001,0.3119077,1.2900001,0.396082,1.2900001,0.2438378,,1.2900001,0.1409921,1.2900001,0.13116,1.2900001,0.067655,,1.2900001,0.3554445,1.2900001,0.2621504,1.2900001,0.2051769
