RMSD-md50ns-complex-00696-protein.xvg,RMSD-md50ns-complex-00696-protein.xvg,RMSD-md50ns-complex-00320-protein.xvg,RMSD-md50ns-complex-00320-protein.xvg,RMSD-md50ns-complex-04868-protein.xvg,RMSD-md50ns-complex-04868-protein.xvg
3.6400001,0.2785845,3.6400001,0.3257861,3.6400001,0.2477839
3.6500001,0.2766282,3.6500001,0.3175424,3.6500001,0.2393157
3.6600001,0.2884278,3.6600001,0.3037898,3.6600001,0.2479375
3.6700001,0.2733432,3.6700001,0.3032282,3.6700001,0.2477506
3.6800001,0.280826,3.6800001,0.323041,3.6800001,0.2648748
3.6900001,0.2813158,3.6900001,0.3486925,3.6900001,0.2529081
3.7000003,0.297348,3.7000003,0.3326631,3.7000003,0.2430388
3.7100003,0.2854105,3.7100003,0.3235346,3.7100003,0.268014
3.7200003,0.3039289,3.7200003,0.3353785,3.7200003,0.2574728
3.7300003,0.3184249,3.7300003,0.3206277,3.7300003,0.251251
3.7400002,0.307776,3.7400002,0.320299,3.7400002,0.2491384
3.7500002,0.3054804,3.7500002,0.3139849,3.7500002,0.2328142
3.7600002,0.2977718,3.7600002,0.3114205,3.7600002,0.234884
3.7700002,0.2972714,3.7700002,0.3067771,3.7700002,0.2353581
3.7800002,0.3000665,3.7800002,0.3199532,3.7800002,0.2329058
3.7900002,0.3080504,3.7900002,0.327096,3.7900002,0.254027
3.8000002,0.3251573,3.8000002,0.3341511,3.8000002,0.2572796
3.8100002,0.3035917,3.8100002,0.3074977,3.8100002,0.2514868
3.8200002,0.302726,3.8200002,0.3045946,3.8200002,0.2395232
3.8300002,0.2985843,3.8300002,0.3064057,3.8300002,0.2479414
3.8400002,0.3139274,3.8400002,0.3085402,3.8400002,0.2578449
3.8500001,0.3068948,3.8500001,0.3280295,3.8500001,0.2642886
3.8600001,0.2832878,3.8600001,0.3473909,3.8600001,0.2444204
3.8700001,0.2814643,3.8700001,0.356922,3.8700001,0.2682001
3.8800001,0.2869363,3.8800001,0.3361471,3.8800001,0.2540417
3.8900001,0.287761,3.8900001,0.3350244,3.8900001,0.2688911
3.9000001,0.2883375,3.9000001,0.3484302,3.9000001,0.258679
3.9100001,0.282791,3.9100001,0.311895,3.9100001,0.2759749
3.9200001,0.2919013,3.9200001,0.3125462,3.9200001,0.2935874
3.9300003,0.3149874,3.9300003,0.3241347,3.9300003,0.2773444
3.9400003,0.3131426,3.9400003,0.3222979,3.9400003,0.2759882
3.9500003,0.3176201,3.9500003,0.3325079,3.9500003,0.2981495
3.9600003,0.2926428,3.9600003,0.3295474,3.9600003,0.2895322
3.9700003,0.2893565,3.9700003,0.3297718,3.9700003,0.284637
